near-normal,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
43.8,d_18950901,0,0,0,0,0,0,56.2,0,0,0,0
100,d_18951001,0,0,0,0,0,0,0,0,0,0,0
100,d_18951101,0,0,0,0,0,0,0,0,0,0,0
13.9,d_18951201,86.2,19.7,0,0,0,0,0,0,0,0,0
100,d_18960101,0,0,0,0,0,0,0,0,0,0,0
0,d_18960201,100,11.3,0,0,0,0,0,0,0,0,0
88.2,d_18960301,11.8,0,0,0,0,0,0,0,0,0,0
88.5,d_18960401,11.5,0,0,0,0,0,0,0,0,0,0
76.2,d_18960501,23.8,0,0,0,0,0,0,0,0,0,0
85.7,d_18960601,14.3,0,0,0,0,0,0,0,0,0,0
55.4,d_18960701,44.6,0,0,0,0,0,0,0,0,0,0
88.2,d_18960801,11.8,0,0,0,0,0,0,0,0,0,0
100,d_18960901,0,0,0,0,0,0,0,0,0,0,0
100,d_18961001,0,0,0,0,0,0,0,0,0,0,0
0,d_18961101,0,0,0,0,0,0,100,43.2,0,0,0
60.7,d_18961201,0,0,0,0,0,0,39.3,0,0,0,0
13.2,d_18970101,0,0,0,0,0,0,86.8,0,0,0,0
0,d_18970201,0,0,0,0,0,0,100,0,0,0,0
0,d_18970301,0,0,0,0,0,0,100,0.6,0,0,0
93.7,d_18970401,0,0,0,0,0,0,6.3,0,0,0,0
99,d_18970501,0,0,0,0,0,0,1,0,0,0,0
99,d_18970601,0,0,0,0,0,0,1,0,0,0,0
99.4,d_18970701,0,0,0,0,0,0,0.6,0,0,0,0
100,d_18970801,0,0,0,0,0,0,0,0,0,0,0
99.1,d_18970901,0,0,0,0,0,0,0.9,0,0,0,0
87,d_18971001,0,0,0,0,0,0,13,0,0,0,0
88.8,d_18971101,11.2,0,0,0,0,0,0,0,0,0,0
0,d_18971201,100,100,78.5,39.4,0,0,0,0,0,0,0
0,d_18980101,99.9,99.3,51.8,4.9,0,0,0,0,0,0,0
0,d_18980201,100,100,98.4,61.2,0,0,0,0,0,0,0
0,d_18980301,100,100,100,82,6.2,0,0,0,0,0,0
0,d_18980401,100,100,100,97.1,37.6,0,0,0,0,0,0
0,d_18980501,100,100,99.1,64.3,1.4,0,0,0,0,0,0
0,d_18980601,100,100,99.4,66.1,1.4,0,0,0,0,0,0
0,d_18980701,100,100,100,99.9,38.8,0,0,0,0,0,0
0,d_18980801,100,100,99.6,66.2,0.7,0,0,0,0,0,0
0,d_18980901,100,99,0,0,0,0,0,0,0,0,0
0,d_18981001,100,70.8,0,0,0,0,0,0,0,0,0
0,d_18981101,100,91.3,0,0,0,0,0,0,0,0,0
0,d_18981201,99.9,98.9,0.4,0,0,0,0,0,0,0,0
83.4,d_18990101,16.6,0,0,0,0,0,0,0,0,0,0
0,d_18990201,100,100,98.9,9.6,0,0,0,0,0,0,0
0,d_18990301,100,100,26,0,0,0,0,0,0,0,0
0,d_18990401,100,100,64.7,1.1,0,0,0,0,0,0,0
0,d_18990501,100,100,85.5,5.5,0,0,0,0,0,0,0
0,d_18990601,100,100,98.6,9.9,0,0,0,0,0,0,0
0,d_18990701,100,100,84.7,1.8,0,0,0,0,0,0,0
0,d_18990801,100,99.6,0,0,0,0,0,0,0,0,0
2.6,d_18990901,97.4,1,0,0,0,0,0,0,0,0,0
3.6,d_18991001,96.4,0,0,0,0,0,0,0,0,0,0
100,d_18991101,0,0,0,0,0,0,0,0,0,0,0
100,d_18991201,0,0,0,0,0,0,0,0,0,0,0
100,d_19000101,0,0,0,0,0,0,0,0,0,0,0
0,d_19000201,100,71.2,0,0,0,0,0,0,0,0,0
0,d_19000301,100,100,0,0,0,0,0,0,0,0,0
0,d_19000401,100,100,1,0,0,0,0,0,0,0,0
0,d_19000501,100,75.6,0,0,0,0,0,0,0,0,0
0,d_19000601,100,70.3,0,0,0,0,0,0,0,0,0
0,d_19000701,100,99.4,0,0,0,0,0,0,0,0,0
0,d_19000801,100,100,0,0,0,0,0,0,0,0,0
0,d_19000901,100,98.7,0,0,0,0,0,0,0,0,0
0,d_19001001,100,98.7,0,0,0,0,0,0,0,0,0
0,d_19001101,0,0,0,0,0,0,100,63.2,0,0,0
17.9,d_19001201,0,0,0,0,0,0,82.1,9.1,0,0,0
0,d_19010101,0,0,0,0,0,0,100,18.3,0,0,0
64.5,d_19010201,0,0,0,0,0,0,35.5,0,0,0,0
100,d_19010301,0,0,0,0,0,0,0,0,0,0,0
100,d_19010401,0,0,0,0,0,0,0,0,0,0,0
100,d_19010501,0,0,0,0,0,0,0,0,0,0,0
100,d_19010601,0,0,0,0,0,0,0,0,0,0,0
100,d_19010701,0,0,0,0,0,0,0,0,0,0,0
100,d_19010801,0,0,0,0,0,0,0,0,0,0,0
100,d_19010901,0,0,0,0,0,0,0,0,0,0,0
100,d_19011001,0,0,0,0,0,0,0,0,0,0,0
100,d_19011101,0,0,0,0,0,0,0,0,0,0,0
100,d_19011201,0,0,0,0,0,0,0,0,0,0,0
7.1,d_19020101,92.9,0,0,0,0,0,0,0,0,0,0
99.6,d_19020201,0.4,0,0,0,0,0,0,0,0,0,0
100,d_19020301,0,0,0,0,0,0,0,0,0,0,0
100,d_19020401,0,0,0,0,0,0,0,0,0,0,0
89.9,d_19020501,10.1,0,0,0,0,0,0,0,0,0,0
41,d_19020601,59,0,0,0,0,0,0,0,0,0,0
0,d_19020701,100,65.6,0,0,0,0,0,0,0,0,0
0,d_19020801,100,0.2,0,0,0,0,0,0,0,0,0
100,d_19020901,0,0,0,0,0,0,0,0,0,0,0
100,d_19021001,0,0,0,0,0,0,0,0,0,0,0
76.8,d_19021101,0,0,0,0,0,0,23.2,0,0,0,0
99,d_19021201,0,0,0,0,0,0,1,0,0,0,0
100,d_19030101,0,0,0,0,0,0,0,0,0,0,0
95.2,d_19030201,4.8,0,0,0,0,0,0,0,0,0,0
100,d_19030301,0,0,0,0,0,0,0,0,0,0,0
