"fod_id","fire_name","fire_year","discovery_date","fire_size","state","county","fips_code","fips_name","latitude","longitude","discovery_date_clean","month"
9094,"HOME",2006,1.148688e+12,0.01,"CA","111","06111","Ventura County",34.48694444,-119.30305556,2006-05-27,2006-05-01
8950,"GRILL",2006,1151884800000,4.3,"CA","111","06111","Ventura County",34.60111111,-119.35416667,2006-07-03,2006-07-01
8503,"CANYON",2006,1151193600000,26.5,"CA","111","06111","Ventura County",34.79333333,-119.33416667,2006-06-25,2006-06-01
10444,"BLUE",2006,1153267200000,0.1,"CA","111","06111","Ventura County",34.88694444,-119.23111111,2006-07-19,2006-07-01
10447,"MASH",2006,1.15344e+12,0.1,"CA","111","06111","Ventura County",34.78527778,-119.26027778,2006-07-21,2006-07-01
10458,"WATER",2006,1.15344e+12,1.2,"CA","111","06111","Ventura County",34.77555556,-119.27666667,2006-07-21,2006-07-01
10461,"LONG",2006,1.15344e+12,0.1,"CA","111","06111","Ventura County",34.785,-119.31916667,2006-07-21,2006-07-01
10466,"LOCK",2006,1153526400000,0.1,"CA","111","06111","Ventura County",34.71861111,-119.11916667,2006-07-22,2006-07-01
10470,"BOY",2006,1153526400000,4.8,"CA","111","06111","Ventura County",34.76583333,-119.17055556,2006-07-22,2006-07-01
10486,"MESA",2006,1153612800000,0.75,"CA","111","06111","Ventura County",34.79027778,-119.24138889,2006-07-23,2006-07-01
10498,"ADOBE",2006,1153785600000,4,"CA","111","06111","Ventura County",34.75944444,-119.0975,2006-07-25,2006-07-01
10427,"SQUIRREL",2006,1150243200000,0.25,"CA","111","06111","Ventura County",34.70388889,-119.30805556,2006-06-14,2006-06-01
10441,"SPRING",2006,1153180800000,0.25,"CA","111","06111","Ventura County",34.80944444,-119.1775,2006-07-18,2006-07-01
10442,"CAMP",2006,1153180800000,0.75,"CA","111","06111","Ventura County",34.80972222,-119.17861111,2006-07-18,2006-07-01
10443,"BRUSH",2006,1153267200000,0.1,"CA","111","06111","Ventura County",34.88777778,-119.22888889,2006-07-19,2006-07-01
9566,"FRIEND",2006,1153267200000,3,"CA","111","06111","Ventura County",34.49194444,-119.28388889,2006-07-19,2006-07-01
13695,"HIGHJACK",2006,1156204800000,1,"CA","111","06111","Ventura County",34.70194444,-119.31305556,2006-08-22,2006-08-01
13696,"GOLD",2006,1156550400000,2.65,"CA","111","06111","Ventura County",34.71722222,-118.93055556,2006-08-26,2006-08-01
14907,"DAY",2006,1.157328e+12,162702,"CA","111","06111","Ventura County",34.63222222,-118.76972222,2006-09-04,2006-09-01
19095,"QUARRY",2007,1179878400000,0.1,"CA","111","06111","Ventura County",34.50083333,-119.30916667,2007-05-23,2007-05-01
18891,"EARLY",2007,1.176336e+12,0.2,"CA","111","06111","Ventura County",34.50222222,-119.35027778,2007-04-12,2007-04-01
18917,"CHERRY",2007,1177718400000,7,"CA","111","06111","Ventura County",34.60194444,-119.34055556,2007-04-28,2007-04-01
19072,"HOLIDAY",2007,1.17936e+12,0.1,"CA","111","06111","Ventura County",34.5175,-119.27777778,2007-05-17,2007-05-01
24954,"CASITAS",2007,1187308800000,0.1,"CA","111","06111","Ventura County",34.4,-119.37055556,2007-08-17,2007-08-01
26381,"RIVER",2007,1196294400000,12,"CA","111","06111","Ventura County",34.76638889,-119.42111111,2007-11-29,2007-11-01
28874,"FISHBOWLS",2008,1216166400000,1,"CA","111","06111","Ventura County",34.63194444,-119.16083333,2008-07-16,2008-07-01
27760,"POTEREO",2008,1.213488e+12,0.1,"CA","111","06111","Ventura County",34.58611111,-119.26888889,2008-06-15,2008-06-01
27315,"IRIS",2008,1209859200000,0.1,"CA","111","06111","Ventura County",34.80666667,-119.11305556,2008-05-04,2008-05-01
28065,"CASITAS 2",2008,1.215216e+12,0.25,"CA","111","06111","Ventura County",34.40861111,-119.33472222,2008-07-05,2008-07-01
27893,"CASITAS",2008,1214697600000,0.2,"CA","111","06111","Ventura County",34.41027778,-119.33611111,2008-06-29,2008-06-01
29997,"CHERRY",2008,1.21824e+12,1,"CA","111","06111","Ventura County",34.43694444,-119.35972222,2008-08-09,2008-08-01
34195,"CAMP",2008,1229126400000,0.01,"CA","111","06111","Ventura County",34.80972222,-119.10972222,2008-12-13,2008-12-01
33751,"STRIP",2008,1222905600000,1.7,"CA","111","06111","Ventura County",34.75583333,-119.02777778,2008-10-02,2008-10-01
33276,"BRIDGE",2008,1225411200000,0.1,"CA","111","06111","Ventura County",34.48416667,-119.29916667,2008-10-31,2008-10-01
35514,"SMITH",2009,1244505600000,0.1,"CA","111","06111","Ventura County",34.72694444,-118.89,2009-06-09,2009-06-01
34956,"BALLINGER",2009,1236470400000,0.01,"CA","111","06111","Ventura County",34.88444444,-119.44333333,2009-03-08,2009-03-01
34958,"LOCKWOOD",2009,1240012800000,42,"CA","111","06111","Ventura County",34.80027778,-119.02083333,2009-04-18,2009-04-01
34627,"BOAT",2009,1.238976e+12,0.5,"CA","111","06111","Ventura County",34.41833333,-119.33888889,2009-04-06,2009-04-01
38069,"SULPHUR",2009,1247270400000,343,"CA","111","06111","Ventura County",34.69944444,-119.28666667,2009-07-11,2009-07-01
38070,"BLOCK",2009,1248307200000,0.1,"CA","111","06111","Ventura County",34.74666667,-119.12861111,2009-07-23,2009-07-01
39373,"VINTAGE",2009,1.250208e+12,150,"CA","111","06111","Ventura County",34.33194444,-119.30194444,2009-08-14,2009-08-01
39848,"MOUNTAIN",2009,1253318400000,0.1,"CA","111","06111","Ventura County",34.78833333,-119.00083333,2009-09-19,2009-09-01
38726,"CASITAS",2009,1252195200000,29.5,"CA","111","06111","Ventura County",34.38722222,-119.365,2009-09-06,2009-09-01
41462,"YELLOWJACKET",2009,1258243200000,15.6,"CA","111","06111","Ventura County",34.72027778,-119.05944444,2009-11-15,2009-11-01
41283,"DUFF",2009,1258675200000,0.01,"CA","111","06111","Ventura County",34.60222222,-119.23583333,2009-11-20,2009-11-01
1301190,"SIMI INCIDENT",2003,1.06704e+12,108204,"CA","Ventura ","06111","Ventura County",34.384722,-118.6675,2003-10-25,2003-10-01
1395401,NA,2006,1155859200000,1,"CA","VENTURA","06111","Ventura County",34.26111111,-118.71388888,2006-08-18,2006-08-01
1395403,"SHEKELL",2006,1.165104e+12,30000,"CA","VENTURA","06111","Ventura County",34.32888888,-118.90111111,2006-12-03,2006-12-01
1395430,NA,2006,1138492800000,10,"CA","VENTURA","06111","Ventura County",34.26194444,-118.915,2006-01-29,2006-01-01
1395432,NA,2006,1.143072e+12,0.3,"CA","VENTURA","06111","Ventura County",34.42694444,-118.93111111,2006-03-23,2006-03-01
1395433,NA,2006,1151798400000,2,"CA","VENTURA","06111","Ventura County",34.355,-118.68694444,2006-07-02,2006-07-01
1395434,NA,2008,1220227200000,1,"CA","VENTURA","06111","Ventura County",34.43888888,-119.14305555,2008-09-01,2008-09-01
1395435,NA,2008,1224806400000,3,"CA","VENTURA","06111","Ventura County",34.43111111,-119.12388888,2008-10-24,2008-10-01
1395437,NA,2008,1200182400000,1,"CA","VENTURA","06111","Ventura County",34.44,-119.12305555,2008-01-13,2008-01-01
1395438,NA,2008,1206921600000,4,"CA","VENTURA","06111","Ventura County",34.36305555,-119.32,2008-03-31,2008-03-01
1395439,NA,2008,1212364800000,1,"CA","VENTURA","06111","Ventura County",34.36888888,-119.305,2008-06-02,2008-06-01
1430274,"SHOOTER",2010,1276905600000,0.4,"CA","111","06111","Ventura County",34.8036111,-119.070556,2010-06-19,2010-06-01
1431758,"REYES",2010,1284681600000,0.1,"CA","111","06111","Ventura County",34.6788889,-119.3075,2010-09-17,2010-09-01
1428786,"BEAVER",2010,1262908800000,0.25,"CA","111","06111","Ventura County",34.5655556,-119.263333,2010-01-08,2010-01-01
1429726,"CHERRY",2010,1.279584e+12,0.2,"CA","111","06111","Ventura County",34.6075,-119.358333,2010-07-20,2010-07-01
1432619,"SNAKE",2010,1285372800000,0.1,"CA","111","06111","Ventura County",34.5002778,-119.344167,2010-09-25,2010-09-01
15001174,"LEIGHTON INC",2005,1124409600000,20.5,"CA","Ventura","06111","Ventura County",34.333333,-119.284167,2005-08-19,2005-08-01
201147832,NA,2011,1311465600000,27,"CA","VENTURA","06111","Ventura County",34.282689,-118.717709,2011-07-24,2011-07-01
